-55,-5e-8
-50,-2e-7
-45,5.5e-7
-40,0.0000023
-35,0.00000513
-30,0.00000916
-25,0.00001456
-20,0.00002216
-15,0.00003307
-10,0.00004752
-5,0.00006217
0,0.00007451
5,0.00008562
10,0.00009619
15,0.000103
20,0.00010494
25,0.00010429
30,0.00010156
35,0.00009745
40,0.00009263
45,0.00008775
50,0.00008327
55,0.00007926
60,0.00007571
65,0.00007259
70,0.00006978
75,0.00006718
80,0.00006466
85,0.00006213
90,0.0000596
95,0.00005707
100,0.00005456
105,0.0000521
110,0.00004971
115,0.00004739
120,0.00004518
125,0.00004306
130,0.00004106
135,0.00003918
140,0.00003743
145,0.00003579
150,0.00003425
155,0.0000328
160,0.00003142
165,0.00003012
170,0.00002886
175,0.00002765
180,0.00002648
185,0.00002535
190,0.00002427
195,0.00002323
200,0.00002225
205,0.00002132
210,0.00002046
215,0.00001965
220,0.00001891
225,0.00001824
230,0.00001761
235,0.00001704
240,0.00001649
245,0.00001598
250,0.00001548
255,0.00001498
260,0.00001448
265,0.00001397
270,0.00001343
275,0.00001287
280,0.00001229
285,0.0000117
290,0.00001111
295,0.00001053
300,0.00000998
305,0.00000946
310,0.00000898
315,0.00000855
320,0.0000082
325,0.0000079
330,0.00000766
335,0.00000746
340,0.00000729
345,0.00000713
350,0.00000699
355,0.00000683
360,0.00000666
365,0.00000647
370,0.00000624
375,0.000006
380,0.00000574
385,0.00000548
390,0.00000522
395,0.00000497
400,0.00000473
405,0.00000452
410,0.00000433
415,0.00000417
420,0.00000404
425,0.00000393
430,0.00000385
435,0.00000378
440,0.00000374
445,0.00000371
450,0.00000369
455,0.00000369
460,0.00000369
465,0.00000369
470,0.0000037
475,0.00000371
480,0.00000371
485,0.0000037
490,0.00000368
495,0.00000364
500,0.00000358
505,0.0000035
510,0.00000339
515,0.00000326
520,0.00000314
525,0.00000305
530,0.00000304
535,0.00000311
540,0.0000033
545,0.00000362
550,0.00000409
555,0.0000047
560,0.00000546
565,0.00000634
570,0.00000725
575,0.00000807
580,0.00000866
585,0.00000893
590,0.00000891
595,0.00000881
600,0.0000087
605,0.0000084
610,0.00000776
615,0.00000687
620,0.00000587
625,0.00000488
630,0.00000402
635,0.00000329
640,0.00000268
645,0.00000216
650,0.00000171
655,0.00000132
660,9.7e-7
665,6.6e-7
670,3.8e-7
675,1.5e-7
680,-6e-8
685,-2.3e-7
690,-3.7e-7
695,-4.7e-7
700,-5.4e-7
705,-5.7e-7
710,-5.5e-7
715,-5e-7
